CGPA,Python,Java,SQL,C++,HTML_CSS,Communication,Aptitude,Internship,Certifications,Interest,Career
6.1,No,Yes,Yes,Yes,Yes,Poor,High,No,Yes,Data Scientist,Data Scientist
6.36,Yes,Yes,Yes,No,Yes,Excellent,High,No,Yes,AI Engineer,AI Engineer
8.65,No,No,Yes,Yes,No,Poor,Low,No,Yes,Software Engineer,Software Engineer
9.22,No,Yes,No,Yes,No,Poor,High,No,No,Cyber Security Analyst,Cyber Security Analyst
8.68,Yes,Yes,No,Yes,Yes,Poor,Medium,No,No,Web Developer,Web Developer
6.62,No,Yes,No,Yes,Yes,Average,Low,No,No,Cyber Security Analyst,Cyber Security Analyst
9.76,Yes,No,Yes,Yes,Yes,Good,Medium,No,Yes,Cloud Engineer,Cloud Engineer
9.47,No,Yes,No,No,No,Average,Medium,Yes,Yes,Web Developer,Web Developer
8.84,No,No,No,Yes,Yes,Excellent,Low,Yes,Yes,Cloud Engineer,Cloud Engineer
8.38,No,Yes,No,No,No,Good,High,Yes,Yes,Software Engineer,Software Engineer
8.92,No,Yes,No,No,Yes,Excellent,Low,No,Yes,Cloud Engineer,Cloud Engineer
9.31,No,Yes,Yes,No,Yes,Poor,High,No,No,Data Scientist,Data Scientist
6.43,No,No,Yes,Yes,Yes,Poor,Low,No,Yes,AI Engineer,AI Engineer
6.49,No,Yes,No,No,Yes,Average,High,No,No,Software Engineer,Software Engineer
7.66,No,Yes,Yes,Yes,Yes,Good,Low,Yes,Yes,Cyber Security Analyst,Cyber Security Analyst
6.27,Yes,Yes,Yes,Yes,No,Poor,High,Yes,No,AI Engineer,AI Engineer
6.81,Yes,No,Yes,No,No,Average,Low,Yes,No,Android Developer,Android Developer
7.61,No,Yes,Yes,Yes,No,Good,Low,Yes,Yes,Cyber Security Analyst,Cyber Security Analyst
8.04,Yes,No,Yes,No,No,Average,Low,No,Yes,Web Developer,Web Developer
8.48,Yes,Yes,Yes,Yes,No,Excellent,Medium,Yes,No,AI Engineer,AI Engineer
6.63,Yes,No,No,No,No,Excellent,High,No,Yes,AI Engineer,AI Engineer
7.13,Yes,Yes,No,Yes,Yes,Excellent,High,Yes,Yes,Web Developer,Web Developer
9.24,Yes,Yes,Yes,No,Yes,Average,High,Yes,Yes,Data Scientist,Data Scientist
8.5,No,No,Yes,No,Yes,Good,Medium,Yes,No,Data Analyst,Data Analyst
7.2,Yes,Yes,No,Yes,Yes,Average,High,No,Yes,Android Developer,Android Developer
9.35,Yes,No,No,Yes,No,Good,High,Yes,No,Cyber Security Analyst,Cyber Security Analyst
9.57,Yes,No,Yes,Yes,Yes,Good,Medium,Yes,No,Data Scientist,Data Scientist
8.61,No,No,No,Yes,Yes,Excellent,Medium,Yes,Yes,Web Developer,Web Developer
8.93,No,Yes,No,No,Yes,Poor,Low,Yes,Yes,Cyber Security Analyst,Cyber Security Analyst
8.21,Yes,No,Yes,Yes,No,Good,Low,No,Yes,Cyber Security Analyst,Cyber Security Analyst
8.53,No,No,Yes,Yes,Yes,Average,Medium,Yes,Yes,Web Developer,Web Developer
8.97,No,Yes,No,Yes,Yes,Excellent,Low,No,Yes,Cyber Security Analyst,Cyber Security Analyst
9.1,No,No,No,Yes,Yes,Poor,High,Yes,No,Web Developer,Web Developer
7.06,Yes,No,No,No,No,Poor,Low,No,Yes,Cyber Security Analyst,Cyber Security Analyst
6.15,No,No,No,No,Yes,Excellent,High,Yes,No,Cloud Engineer,Cloud Engineer
8.69,Yes,Yes,No,No,Yes,Good,High,No,Yes,AI Engineer,AI Engineer
7.93,No,No,No,No,Yes,Average,Medium,No,Yes,Cloud Engineer,Cloud Engineer
7.54,Yes,No,No,Yes,No,Good,Medium,No,No,Cloud Engineer,Cloud Engineer
7.94,Yes,Yes,No,No,Yes,Average,High,No,Yes,Web Developer,Web Developer
6.56,Yes,Yes,No,Yes,No,Excellent,High,Yes,No,Web Developer,Web Developer
7.52,Yes,Yes,Yes,No,Yes,Average,High,No,Yes,Android Developer,Android Developer
9.49,Yes,No,Yes,No,No,Excellent,High,No,No,Web Developer,Web Developer
8.83,No,No,No,Yes,No,Excellent,High,Yes,No,Software Engineer,Software Engineer
6.29,No,Yes,No,No,No,Poor,Low,Yes,Yes,Android Developer,Android Developer
8.64,Yes,Yes,No,No,No,Excellent,Medium,Yes,Yes,Data Analyst,Data Analyst
7.48,Yes,No,No,Yes,No,Good,Medium,No,Yes,Data Analyst,Data Analyst
6.83,No,No,Yes,No,No,Excellent,High,Yes,No,Android Developer,Android Developer
9.73,Yes,No,Yes,Yes,No,Average,Medium,Yes,Yes,Software Engineer,Software Engineer
7.44,Yes,No,No,No,No,Good,Medium,No,Yes,Cloud Engineer,Cloud Engineer
6.07,Yes,No,Yes,Yes,Yes,Poor,Low,Yes,Yes,Android Developer,Android Developer
6.91,No,Yes,Yes,No,No,Good,Low,Yes,Yes,Software Engineer,Software Engineer
6.41,Yes,No,No,No,Yes,Poor,High,Yes,Yes,Cloud Engineer,Cloud Engineer
9.23,Yes,Yes,No,No,No,Poor,High,No,Yes,Cloud Engineer,Cloud Engineer
9.12,Yes,No,No,No,Yes,Excellent,Low,No,No,Data Analyst,Data Analyst
7.66,No,No,Yes,Yes,No,Excellent,Low,No,No,Android Developer,Android Developer
6.11,No,Yes,No,Yes,No,Good,Medium,No,No,Cyber Security Analyst,Cyber Security Analyst
7.96,Yes,Yes,Yes,No,No,Average,High,No,No,AI Engineer,AI Engineer
9.01,Yes,No,Yes,No,Yes,Good,High,No,No,Android Developer,Android Developer
7.62,No,No,No,No,No,Good,Low,Yes,Yes,Cyber Security Analyst,Cyber Security Analyst
6.45,Yes,Yes,Yes,No,No,Good,Low,Yes,No,Cyber Security Analyst,Cyber Security Analyst
7.37,No,Yes,Yes,No,Yes,Poor,High,No,Yes,Web Developer,Web Developer
6.39,Yes,No,No,No,No,Good,Low,Yes,No,Android Developer,Android Developer
6.43,Yes,No,No,Yes,Yes,Average,Low,No,Yes,Android Developer,Android Developer
6.45,No,Yes,No,No,No,Good,High,No,No,Web Developer,Web Developer
8.32,Yes,Yes,Yes,No,Yes,Average,Low,Yes,Yes,AI Engineer,AI Engineer
6.01,No,No,No,Yes,Yes,Good,High,No,No,Software Engineer,Software Engineer
8.61,No,Yes,No,Yes,Yes,Average,Medium,Yes,Yes,Data Scientist,Data Scientist
6.63,No,No,No,Yes,No,Good,High,No,No,AI Engineer,AI Engineer
7.66,Yes,No,No,No,Yes,Poor,Low,Yes,No,Android Developer,Android Developer
